"NUM_POSTE","NOM_USUEL","LAT","LON","ALTI","AAAAMMJJHH","RR1","QRR1","DRR1","QDRR1","FF","QFF","DD","QDD","FXY","QFXY","DXY","QDXY","HXY","QHXY","FXI","QFXI","DXI","QDXI","HXI","QHXI","FF2","QFF2","DD2","QDD2","FXI2","QFXI2","DXI2","QDXI2","HXI2","QHXI2","FXI3S","QFXI3S","DXI3S","QDXI3S","HFXI3S","QHFXI3S","T","QT","TD","QTD","TN","QTN","HTN","QHTN","TX","QTX","HTX","QHTX","DG","QDG","T10","QT10","T20","QT20","T50","QT50","T100","QT100","TNSOL","QTNSOL","TN50","QTN50","TCHAUSSEE","QTCHAUSSEE","DHUMEC","QDHUMEC","U","QU","UN","QUN","HUN","QHUN","UX","QUX","HUX","QHUX","DHUMI40","QDHUMI40","DHUMI80","QDHUMI80","TSV","QTSV","PMER","QPMER","PSTAT","QPSTAT","PMERMIN","QPMERMIN","GEOP","QGEOP","N","QN","NBAS","QNBAS","CL","QCL","CM","QCM","CH","QCH","N1","QN1","C1","QC1","B1","QB1","N2","QN2","C2","QC2","B2","QB2","N3","QN3","C3","QC3","B3","QB3","N4","QN4","C4","QC4","B4","QB4","VV","QVV","DVV200","QDVV200","WW","QWW","W1","QW1","W2","QW2","SOL","QSOL","SOLNG","QSOLNG","TMER","QTMER","VVMER","QVVMER","ETATMER","QETATMER","DIRHOULE","QDIRHOULE","HVAGUE","QHVAGUE","PVAGUE","QPVAGUE","HNEIGEF","QHNEIGEF","NEIGETOT","QNEIGETOT","TSNEIGE","QTSNEIGE","TUBENEIGE","QTUBENEIGE","HNEIGEFI3","QHNEIGEFI3","HNEIGEFI1","QHNEIGEFI1","ESNEIGE","QESNEIGE","CHARGENEIGE","QCHARGENEIGE","GLO","QGLO","GLO2","QGLO2","DIR","QDIR","DIR2","QDIR2","DIF","QDIF","DIF2","QDIF2","UV","QUV","UV2","QUV2","UV_INDICE","QUV_INDICE","INFRAR","QINFRAR","INFRAR2","QINFRAR2","INS","QINS","INS2","QINS2","TLAGON","QTLAGON","TVEGETAUX","QTVEGETAUX","ECOULEMENT","QECOULEMENT"
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010106,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.9,9,-18.,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",28,9,"","","","","","","","","","","","",1.5,9,"","","","","","","","",3,9,0,9,0,9,0,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","",55000,9,"","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",43,9,-6.8,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010112,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.6,9,-18.,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",25,9,"","","","","","","","","","","","",1.5,9,"","","","","","","","",1,9,0,9,0,9,0,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","",55000,9,"","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",43,9,-6.3,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010206,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4.3,9,-13.9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",48,9,"","","","","","","","","","","","",2.1,9,"","","","","","","","",2,9,2,9,6,9,0,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","",55000,9,"","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",43,9,-7.,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010212,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.7,9,-11.7,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",54,9,"","","","","","","","","","","","",2.5,9,"","","","","","","","",4,9,4,9,6,9,0,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","",55000,9,"","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",43,9,-6.8,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010306,"","","","",13.,9,90,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.8,9,-6.,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",84,9,"","","","","","","","","","","","",3.9,9,"","","","","","","","",9,9,9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",200,9,"","",86,9,7,9,0,9,"","","","","","","","","","","","","","","","","","",43,9,-3.8,9,5,9,"","",3,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010312,"","","","",13.,9,90,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.3,9,-5.4,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",85,9,"","","","","","","","","","","","",4.1,9,"","","","","","","","",9,9,9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",200,9,"","",88,9,7,9,0,9,"","","","","","","","","","","","","","","","","","",47,9,-3.6,9,5,9,"","",2,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010406,"","","","",13.,9,90,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.,9,-9.,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",55,9,"","","","","","","","","","","","",3.1,9,"","","","","","","","",8,9,8,9,6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2000,9,"","",0,9,7,9,0,9,"","","","","","","","","","","","","","","","","","",47,9,-1.4,9,3,9,"","",1,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010412,"","","","",13.,9,90,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.9,9,-8.6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",60,9,"","","","","","","","","","","","",3.2,9,"","","","","","","","",8,9,8,9,6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",500,9,"","",44,9,4,9,4,9,"","","","","","","","","","","","","","","","","","",47,9,-2.,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010506,"","","","",8.,9,270,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.3,9,-3.,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",89,9,"","","","","","","","","","","","",4.9,9,"","","","","","","","",8,9,8,9,6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",500,9,"","",44,9,4,9,0,9,"","","","","","","","","","","","","","","","","","",47,9,-2.4,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010512,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.1,9,-3.3,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",79,9,"","","","","","","","","","","","",4.8,9,"","","","","","","","",8,9,8,9,6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1000,9,"","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",47,9,-1.5,9,3,9,"","",0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010606,"","","","",3.,9,270,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.,9,-0.7,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",95,9,"","","","","","","","","","","","",5.8,9,"","","","","","","","",8,9,4,9,5,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,9,"","",73,9,7,9,4,9,"","","","","","","","","","","","","","","","","","",60,9,-1.3,9,15,9,"","",15,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05139405","Super_Devoluy",44.6655,5.906667,1915,2008010612,"","","","",14.,9,50,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,9,-0.3,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",97,9,"","","","","","","","","","","","",6.,9,"","","","","","","","",7,9,7,9,6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2000,9,"","",0,9,7,9,4,9,"","","","","","","","","","","","","","","","","","",60,9,-0.6,9,14,9,"","",2,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
