"NUM_POSTE","NOM_USUEL","LAT","LON","ALTI","AAAAMMJJHH","RR1","QRR1","DRR1","QDRR1","FF","QFF","DD","QDD","FXY","QFXY","DXY","QDXY","HXY","QHXY","FXI","QFXI","DXI","QDXI","HXI","QHXI","FF2","QFF2","DD2","QDD2","FXI2","QFXI2","DXI2","QDXI2","HXI2","QHXI2","FXI3S","QFXI3S","DXI3S","QDXI3S","HFXI3S","QHFXI3S","T","QT","TD","QTD","TN","QTN","HTN","QHTN","TX","QTX","HTX","QHTX","DG","QDG","T10","QT10","T20","QT20","T50","QT50","T100","QT100","TNSOL","QTNSOL","TN50","QTN50","TCHAUSSEE","QTCHAUSSEE","DHUMEC","QDHUMEC","U","QU","UN","QUN","HUN","QHUN","UX","QUX","HUX","QHUX","DHUMI40","QDHUMI40","DHUMI80","QDHUMI80","TSV","QTSV","PMER","QPMER","PSTAT","QPSTAT","PMERMIN","QPMERMIN","GEOP","QGEOP","N","QN","NBAS","QNBAS","CL","QCL","CM","QCM","CH","QCH","N1","QN1","C1","QC1","B1","QB1","N2","QN2","C2","QC2","B2","QB2","N3","QN3","C3","QC3","B3","QB3","N4","QN4","C4","QC4","B4","QB4","VV","QVV","DVV200","QDVV200","WW","QWW","W1","QW1","W2","QW2","SOL","QSOL","SOLNG","QSOLNG","TMER","QTMER","VVMER","QVVMER","ETATMER","QETATMER","DIRHOULE","QDIRHOULE","HVAGUE","QHVAGUE","PVAGUE","QPVAGUE","HNEIGEF","QHNEIGEF","NEIGETOT","QNEIGETOT","TSNEIGE","QTSNEIGE","TUBENEIGE","QTUBENEIGE","HNEIGEFI3","QHNEIGEFI3","HNEIGEFI1","QHNEIGEFI1","ESNEIGE","QESNEIGE","CHARGENEIGE","QCHARGENEIGE","GLO","QGLO","GLO2","QGLO2","DIR","QDIR","DIR2","QDIR2","DIF","QDIF","DIF2","QDIF2","UV","QUV","UV2","QUV2","UV_INDICE","QUV_INDICE","INFRAR","QINFRAR","INFRAR2","QINFRAR2","INS","QINS","INS2","QINS2","TLAGON","QTLAGON","TVEGETAUX","QTVEGETAUX","ECOULEMENT","QECOULEMENT"
"26198001","MONTELIMAR",44.581167,4.733,73,1972010100,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.1,1,1.4,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",90,1,"","","","","","","","","","","","",6.8,1,1017.8,1,"","","","","","",6,1,6,1,0,1,4,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","",7000,1,"","",1,1,6,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010103,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.4,1,0.4,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",87,1,"","","","","","","","","","","","",6.3,1,1019.1,1,"","","","","","",5,1,0,1,5,1,0,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","",8000,1,"","",1,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010106,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.8,1,0.2,1,"","","","","","","","","","",5.3,1,"","","","","","","","","","","","","","",89,1,"","","","","","","","","","","","",6.2,1,1020.5,1,"","","","","","",2,1,0,1,5,1,3,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","",5000,1,"","",1,1,1,1,"","",0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010109,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.6,1,1.,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",89,1,"","","","","","","","","","","","",6.6,1,1022.8,1,"","","","","","",3,1,0,1,5,1,0,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","",5000,1,"","",3,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010112,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4.6,1,2.6,1,"","","","","","","","","","",5.,1,6.2,1,7.7,1,9.4,1,"","","","","","","","",87,1,"","","","","","","","","","","","",7.4,1,1022.5,1,"","","","","","",3,1,0,1,5,1,0,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","",5000,1,"","",1,1,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010115,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4.6,1,2.8,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",89,1,"","","","","","","","","","","","",7.5,1,1022.6,1,"","","","","","",6,1,5,1,5,1,3,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","",6000,1,"","",2,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010118,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.9,1,3.1,1,"","","","","","","","","","",5.7,1,"","","","","","","","","","","","","","",95,1,"","","","","","","","","","","","",7.7,1,1023.,1,"","","","","","",8,1,8,1,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",4000,1,"","",10,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010121,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.7,1,3.,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",95,1,"","","","","","","","","","","","",7.6,1,1023.4,1,"","","","","","",8,1,8,1,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",4000,1,"","",10,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010200,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4.8,1,4.,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",95,1,"","","","","","","","","","","","",8.2,1,1021.2,1,"","","","","","",8,1,8,1,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",4000,1,"","",10,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26198001","MONTELIMAR",44.581167,4.733,73,1972010203,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5.4,1,3.8,1,"","","","","","","","","","","","","","","","","","","","","","","","","","",91,1,"","","","","","","","","","","","",8.1,1,1020.3,1,"","","","","","",8,1,8,1,5,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",6000,1,"","",2,1,2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
