"NUM_POSTE","NOM_USUEL","LAT","LON","ALTI","AAAAMMJJHH","RR1","QRR1","DRR1","QDRR1","FF","QFF","DD","QDD","FXY","QFXY","DXY","QDXY","HXY","QHXY","FXI","QFXI","DXI","QDXI","HXI","QHXI","FF2","QFF2","DD2","QDD2","FXI2","QFXI2","DXI2","QDXI2","HXI2","QHXI2","FXI3S","QFXI3S","DXI3S","QDXI3S","HFXI3S","QHFXI3S","T","QT","TD","QTD","TN","QTN","HTN","QHTN","TX","QTX","HTX","QHTX","DG","QDG","T10","QT10","T20","QT20","T50","QT50","T100","QT100","TNSOL","QTNSOL","TN50","QTN50","TCHAUSSEE","QTCHAUSSEE","DHUMEC","QDHUMEC","U","QU","UN","QUN","HUN","QHUN","UX","QUX","HUX","QHUX","DHUMI40","QDHUMI40","DHUMI80","QDHUMI80","TSV","QTSV","PMER","QPMER","PSTAT","QPSTAT","PMERMIN","QPMERMIN","GEOP","QGEOP","N","QN","NBAS","QNBAS","CL","QCL","CM","QCM","CH","QCH","N1","QN1","C1","QC1","B1","QB1","N2","QN2","C2","QC2","B2","QB2","N3","QN3","C3","QC3","B3","QB3","N4","QN4","C4","QC4","B4","QB4","VV","QVV","DVV200","QDVV200","WW","QWW","W1","QW1","W2","QW2","SOL","QSOL","SOLNG","QSOLNG","TMER","QTMER","VVMER","QVVMER","ETATMER","QETATMER","DIRHOULE","QDIRHOULE","HVAGUE","QHVAGUE","PVAGUE","QPVAGUE","HNEIGEF","QHNEIGEF","NEIGETOT","QNEIGETOT","TSNEIGE","QTSNEIGE","TUBENEIGE","QTUBENEIGE","HNEIGEFI3","QHNEIGEFI3","HNEIGEFI1","QHNEIGEFI1","ESNEIGE","QESNEIGE","CHARGENEIGE","QCHARGENEIGE","GLO","QGLO","GLO2","QGLO2","DIR","QDIR","DIR2","QDIR2","DIF","QDIF","DIF2","QDIF2","UV","QUV","UV2","QUV2","UV_INDICE","QUV_INDICE","INFRAR","QINFRAR","INFRAR2","QINFRAR2","INS","QINS","INS2","QINS2","TLAGON","QTLAGON","TVEGETAUX","QTVEGETAUX","ECOULEMENT","QECOULEMENT"
"73227400","Courchevel",45.413333,6.632167,1780,2017010106,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.2,9,-11.2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",54,9,"","","","","","","","","","","","",2.6,9,"","","","","","","","",0,9,0,9,0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",11,9,-7.,1,2,1,"","",0,9,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010112,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.,9,-12.2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",34,9,"","","","","","","","","","","","",2.4,9,"","","","","","","","",0,9,0,9,0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",11,9,-5.3,1,2,1,"","",0,9,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010206,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4.3,9,-13.3,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",50,9,"","","","","","","","","","","","",2.2,9,"","","","","","","","",3,9,1,9,0,9,3,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",11,9,-6.3,1,1,1,"","",0,9,6,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010212,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.3,9,-15.8,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",29,9,"","","","","","","","","","","","",1.8,9,"","","","","","","","",3,9,0,9,0,9,0,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",11,9,-7.1,1,1,1,"","",0,9,6,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010306,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-7.4,9,-8.6,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",90,9,"","","","","","","","","","","","",3.2,9,"","","","","","","","",4,9,4,9,6,9,0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",11,9,-7.4,1,1,1,"","",0,9,6,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010312,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-5.2,9,-7.5,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",84,9,"","","","","","","","","","","","",3.5,9,"","","","","","","","",1,9,1,9,5,9,0,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",11,9,-7.,1,1,1,"","",0,9,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010406,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-3.,9,-9.9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",60,9,"","","","","","","","","","","","",2.9,9,"","","","","","","","",7,9,7,9,0,9,3,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",10,9,-7.2,1,1,1,"","",0,9,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010412,"","","","",0.,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-0.3,9,-10.3,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",46,9,"","","","","","","","","","","","",2.8,9,"","","","","","","","",4,9,4,9,5,9,3,9,0,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",10,9,-4.9,1,1,1,"","",0,9,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010506,"","","","",10.,9,270,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-8.5,9,-9.,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",96,9,"","","","","","","","","","","","",3.1,9,"","","","","","","","",9,9,9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",45,9,7,9,4,9,"","","","","","","","","","","","","","","","","","",13,1,-6.2,1,4,1,"","",3,9,0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73227400","Courchevel",45.413333,6.632167,1780,2017010512,"","","","",6.,9,350,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",-8.2,1,-11.2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","",78,9,"","","","","","","","","","","","",2.6,9,"","","","","","","","",7,9,7,9,0,9,2,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,9,0,9,0,9,"","","","","","","","","","","","","","","","","","",12,9,-4.7,1,4,1,"","",0,9,0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
